ts	phase	decision	why	evidence	result
2026-09-12T20:09:08Z	baseline	Add repeatable native reading journey and input probes	Existing simulated frame waits cannot measure input-to-render latency	tests/reading_journey.py;src/ui/reading_probe.h	verification pending
2026-09-12T20:11:34Z	upstream-audit	Document nine reusable Afterhours candidates and correct stale widget gaps	User requested an independent review of app workarounds useful to other apps and games	docs/afterhours-gaps.md;/tmp/fh-afterhours-review	15 selected unit tests passed; UI proposals source-reviewed
2026-09-12T20:11:34Z	baseline	Reject first probe replay and add explicit retry with wall-clock timeout	Unconsumed pending commands are rejected by the framework; returning alone does not wait	output/reading-navigation/probe/zoom-100-run-1/run.log	failed run retained; fix awaiting replay
2026-09-12T20:15:39Z	baseline	Gate subsequent input while a reading checkpoint retries	The runner dispatches subsequent ordinary commands despite pending retries	output/reading-navigation/probe-retry/zoom-100-run-1/run.log;vendor/afterhours/src/plugins/e2e_testing/runner.h	second failed replay retained; barrier awaiting replay
2026-09-12T20:19:47Z	baseline	Use Quick Open for the second source in the repeatable journey	At 140% the Files controls clip beta.cpp completely; retain that failed mouse-path evidence separately	output/reading-navigation/probe-zoom/zoom-140-run-1/cold_files.json	baseline script now uses keyboard Quick Open
2026-09-12T20:26:03Z	baseline	Add cache deltas and reconstructable source metadata; isolate probe implementation	Independent review found cumulative counters and omitted untracked source insufficient for per-step evidence	src/ui/reading_probe.cpp;tests/reading_journey.py	optimized build and all-zoom exploratory replay passed
2026-09-12T20:26:04Z	baseline	Strengthen source geometry check to require a fully visible first code line	At 200% line 12 exists in the render registry but is clipped; registry membership alone is not visibility	output/reading-navigation/baseline/zoom-200-run-3/cold_source.png;tests/reading_journey.py	fresh 90-sample replay underway
2026-09-12T20:27:24Z	baseline	Complete step 01 with 90 final samples and unchanged cache budgets	All nine all-zoom journeys passed visible-code geometry and the 20 ms p99 rendering gate	docs/reading-navigation-baseline.md;output/reading-navigation/baseline-verified	23 content/patch tests passed; baseline verified; steps 02-60 outstanding
2026-09-12T20:30:55Z	baseline	Require the destination heading to be visibly rendered before recording timing	An input callback can change destination state after constructing the frame, making state-only timing one frame early	src/ui/reading_probe.cpp;output/reading-build-visible-heading.log	rebuilt; final heading-aware replay underway
2026-09-12T20:30:55Z	baseline	Update legacy Back/Forward test to the current working-review button in Files	The old review_progress wrapper is absent from the default Review sidebar and is not the action button	tests/e2e_scripts/improvement_44_navigation.e2e;output/reading-navigation/existing-navigation-updated.log	existing navigation journey passed; original failed log retained
2026-09-12T20:32:44Z	baseline	Accept final heading-aware replay and retain prior successful timing summaries	Final instrumentation now checks visible destination heading and code geometry before claiming readiness	output/reading-navigation/baseline-rendered;docs/reading-navigation-evidence	90 samples and nine render gates passed; 23 content/patch tests and existing navigation journey passed
2026-09-12T20:34:02Z	audit	GPT-5.5 independently checked the final probe and evidence with no blocking finding	Fresh review checked heading visibility, source identity, cache deltas, complete artifacts, and render gates	src/ui/reading_probe.cpp;output/reading-navigation/baseline-rendered;docs/reading-navigation-evidence	step 01 verified only; synthetic timing and nonempty-fixture limits remain
2026-09-12T20:52:33Z	step02	Use typed destinations and direct navigation operations	Retained review and source fields currently share selection writers; direct boundary keeps ECS runtime and removes sampled history	output/navigation-design/direct.md; output/navigation-design/value.md; src/util/navigation.h; tests/unit/test_review_target.cpp	Implementation in progress; native replay pending
2026-09-12T21:23:12Z	verify	Complete step 02 after native routing and comparison guard fixes	Typed destinations must match actual reader and pending request identity	docs/reading-navigation-step02.md; output/reading-navigation/step02-final-binary; output/navigation-design/regressions-final-binary	82 unit checks, seven native regressions, 90 reading samples passed; warm latency target still unmet
2026-09-12T21:36:27Z	implement	Replace the two reading slots with stable document IDs	Retain independent review/source destinations without retaining inactive bodies	src/util/reading_workspace.h; tests/unit/test_review_target.cpp; docs/reading-navigation-step03.md	20 state checks and 25 existing navigation checks pass; native verification pending
2026-09-12T21:46:58Z	verify	Complete independent document tabs	Native tab activation must retain identities without inactive bodies	docs/reading-navigation-step03.md; output/document-tabs/native-fixture-corrected; output/document-tabs/regressions	85 units, three zoom journeys, seven regressions, ten reading samples passed; cramped titles and warm latency deferred to planned steps
2026-09-12T23:12:16Z	priorities	Handle the user’s new reading and layout requests before step 04	Unstaged feedback, close controls, readable headers and wrapping are immediate user pain points	docs/reading-navigation-priorities.md; output/priority-polish	Implementation complete; final integrated replay pending
2026-09-12T23:12:16Z	performance	Redistribute the existing 5 MiB metrics budget to 2 MiB signatures and 3 MiB wrap positions	A 4,000-line bounded source page evicted its own wrap entries and rendered at 43.85 ms p99	output/priority-polish/large-build7/run.log; tests/unit/test_diff_metrics.cpp	All 4,000 measurements now reuse in the unit test; native gate pending
2026-09-12T23:12:16Z	layout	Reserve narrow file-header action height before selection	Selection added a header row and moved the source line under the pointer at 200% zoom	output/priority-polish/highlight-final; tests/text_highlight.py	Regression now asserts unchanged header rectangles during forward and reverse selection
2026-09-12T23:25:25Z	performance	Reuse a canonical monospace gutter measurement	Four thousand distinct line-number strings competed with normal labels in the framework text cache	output/priority-polish/large-build9/run.log	4000 source lines: 4.62 ms average, 6.46 ms p99, unchanged cache budgets
2026-09-12T23:47:34Z	verification	Verify the requested reading priorities before resuming step 04	Mouse, keyboard, reload and timing checks found gaps that compilation missed	docs/reading-navigation-priorities.md	175 unit checks; zoom and native behavior passed; 90 samples, selection p95 9.26 ms; warm commit p95 205.40 ms still misses target
2026-09-13T00:12:31Z	step04	Implement one preview and explicit keep operations	Browsing should replace transient tabs while preserving retained reviews and source files	docs/reading-navigation-step04.md	54 unit checks, three-zoom preview and kept-tab journeys, seven navigation regressions and priority feedback/hover passed
2026-09-13T00:30:12Z	step05	Retain subjects and disambiguate tab labels by path and revision	Recognize open documents without retaining inactive rendering payloads	docs/reading-navigation-step05.md; tests/document_titles.py	45 unit checks and native titles/preview/hover at 100/140/200 passed; corrected label clipping caught by screenshots
2026-09-13T00:51:29Z	step06	Scroll document tabs and bound the open-tabs menu	Keep documents reachable in narrow windows and at increased zoom	docs/reading-navigation-step06.md; tests/tab_overflow.py	18 unit checks, 25-tab replay and prior tab/hover/title journeys at three zooms, plus seven navigation regressions passed
2026-09-13T01:11:22Z	step07	Restore closed-tab positions and reclaim sidebar status space	Retain observed offsets across reused entities; remove duplicate status; clamp Files divider to visible header	docs/reading-navigation-step07.md	38 unit checks and native close/sidebar/divider journeys pass at 100/140/200; dock and reading regressions pass
2026-09-13T01:18:36Z	step08	Reorder tabs without changing reading state	Capture drag after threshold; move stable documents through navigation; cancel temporary gestures	docs/reading-navigation-step08.md	45 unit checks, ownership check, drag and preview/close/overflow/hover at three zooms passed
2026-09-13T01:27:06Z	step09	Cycle a frozen MRU document list while Ctrl is held	Commit selection on release; prune closed tabs; scope overlay to repository	docs/reading-navigation-step09.md	42 unit checks and switcher/preview/close/reorder native journeys at three zooms passed
2026-09-13T02:02:31Z	step10	Persist kept tabs and logical reading anchors lazily	Restore document identity and position without loading inactive tabs or overriding window mode	docs/reading-navigation-step10.md; docs/reading-navigation-evidence/step10; output/step10-acceptance.log; output/step10-last-regressions.log	Passed session/navigation/settings/content-reader units and native restart, unavailable-object, window, large-file, navigation, close and MRU journeys; earlier timing failures retained
2026-09-13T02:12:24Z	step11	Retain logical reading anchors per history visit	One review tab can contain multiple file visits; returning must restore the visit rather than the latest tab position	docs/reading-navigation-step11.md; docs/reading-navigation-evidence/step11; output/step11-native.log	47 navigation tests and native history, navigation, close, and restart regressions passed; exact wrapped Unicode fragment geometry verified at three zooms
2026-09-13T02:22:59Z	step12	Open source at the diff position and retain the exact review origin	Deleted lines and renames need before-revision paths; later review visits must not overwrite the source return point	docs/reading-navigation-step12.md; docs/reading-navigation-evidence/step12; output/step12-native.log	51 navigation and five session tests passed; selected-line, deletion, history, navigation and restart native replays passed at three zooms; fixture remains clean
2026-09-13T02:45:36Z	step13	Resolve reading anchors after layout; disable entity-based scroll pinning for readers	Pixel restoration and recycled entity IDs move the visible code after zoom or tab return	output/step13-baseline;output/step13-source_origin/100/journey;tests/anchor_layout.py;tests/anchor_pages.py	Implementation built; regression replay in progress
2026-09-13T02:54:14Z	step13	Verify and finish logical reading restoration	Preserve the same code through layout changes and released source pages	docs/reading-navigation-step13.md;docs/reading-navigation-evidence/step13	58 unit checks; 13 geometry checks; all targeted native regressions passed
2026-09-13T03:07:30Z	step14	Resolve focus from semantic controls after temporary UI closes	UI entity IDs and composite wrapper IDs are not stable keyboard targets	src/util/focus_target.h;src/ui/focus.h;tests/focus_return.py;output/step14-focus-first	Four unit tests passed; native replay exposed composite input focus and fixture setup issues
2026-09-13T03:22:17Z	step14	Finish semantic focus return and composite-input focus	Return to the caller without stale entity IDs or deferred Escape actions	docs/reading-navigation-step14.md;docs/reading-navigation-evidence/step14	Five unit tests and all targeted native replays passed at the applicable zooms
2026-09-13T03:37:28Z	step15	Route shortcuts through semantic focus and ancestor editing state	Option+Left navigated away from a focused picker input; hidden review actions shared raw keys	docs/reading-navigation-step15.md; output/step15-baseline; output/step15-verified-*	7 unit tests and all native journeys passed; system clipboard contents unverified in windowless backend
2026-09-13T03:51:06Z	step16	Dismiss the top temporary control on Escape and add explicit panel collapse	Escape replaced retained reviews; popup order and document closure need separate operations	docs/reading-navigation-step16.md; output/step16-baseline; output/step16-final-*	9 unit tests, three zooms, narrow modal geometry, logical anchor restoration, and hidden native resize probes passed
2026-09-13T04:04:11Z	step17	Separate tree review status from filename styling in a fixed-width column	Hover, selection, focus, and review state must coexist without moving row contents	docs/reading-navigation-step17.md; output/step17-tree-second; output/step17-tab-probe	73 unit tests, three-zoom state matrices, navigation/focus/source regressions passed; creation-order Tab traversal recorded
2026-09-13T04:24:08Z	step18	Use path-based keyboard focus for visible tree rows	Skip collapsed descendants, preserve preview semantics, and reveal pooled rows without retaining content	tests/tree_keyboard.py; tests/unit/test_tree_navigation.cpp; src/ui/tree_keyboard.h	Native zoom replay in progress; review and tree unit checks pass
2026-09-13T04:35:11Z	step18	Cull offscreen header controls and verify tree keyboard navigation	The 63-file replay exceeded the 20 ms render gate while building every header action	docs/reading-navigation-evidence/step18; output/step18-regressions.json	60 unit checks and native regressions pass; final p99 8.34/10.37/5.10 ms; earlier timing spikes retained
2026-09-13T04:48:19Z	step19	Add timed tree prefix selection and decode Git-quoted paths	Typing must select visible filenames; the native fixture revealed empty Unicode paths in the diff parser	docs/reading-navigation-evidence/step19; output/step19-regressions.json; output/step19-parser-unit-final.log	65 unit checks and native regressions pass; Unicode prefix injection remains a documented framework test gap
2026-09-13T05:23:11Z	step20	Reveal active files once per explicit navigation	Preserve tree position and revision scope while reading	docs/reading-navigation-step20.md	68 unit checks and three-zoom journeys passed; timing failures retained
2026-09-13T05:28:01Z	step21	Preserve folds on file navigation; reveal only explicit Find matches	A selected file lost its commented-hunk folds	output/step21-before/100/a_reselected.json	Reproduced before change; implementation awaiting native verification
2026-09-13T05:34:10Z	step21	Verify fold preservation	File jumps should preserve the review reading state	docs/reading-navigation-step21.md	Three zooms, 13 anchor comparisons, source/comment navigation and 20 unit tests passed
2026-09-13T05:45:01Z	step22	Bind review-tree menu actions to the clicked revision and path	Another selected row must not determine a context-menu action	docs/reading-navigation-step22.md	Three-zoom menus/focus, 14 context-menu tests and ownership checks passed
2026-09-13T05:50:24Z	step23	Compact single-child directory chains while retaining full path identities	Use sidebar space without changing destinations or fold state	output/step23-tree-unit.log	16 unit tests passed; native build in progress
2026-09-13T05:57:07Z	step23	Verify compact-tree navigation and geometry	Compaction must retain path identity and keyboard behavior	docs/reading-navigation-step23.md	43 unit tests and three-zoom compact, keyboard, reveal and menu journeys passed
2026-09-13T06:04:27Z	step24	Anchor tree refreshes and filters by path	Index-based rows can move focus and click targets after insertions	output/step24-tree-unit.log	20 unit tests passed; native verification pending
2026-09-13T06:23:03Z	step24	Preserve tree viewport and focus by path during row replacement	Insertions and filtering must not move existing reading targets	docs/reading-navigation-step24.md	20 unit tests and five native journeys at three zooms pass; earlier timing and focus failures retained
2026-09-13T06:37:26Z	step25	Preview commits with history arrows and keep with Enter	Read commits without losing history focus or routing editing keys into navigation	docs/reading-navigation-step25.md	Nine unit tests, four three-zoom journeys, and seven navigation regressions pass; text-field focus failure fixed and retained
2026-09-13T07:03:43Z	step26	Append pinned history pages with inline retry and retained focus	Older history must load without moving rows or replacing the review	docs/reading-navigation-step26.md	240-commit native replay passes at three zooms; zero row movement; 6.37:1 retry contrast; timing variability retained
2026-09-13T07:49:11Z	step27	Keep Quick Open over the reader; separate focusability from hover tint	Picker replaced reader; click-to-focus regions inherited button hover	output/step27-acceptance-quick_open_overlay; output/step27-final-container_hover; output/step27-final-zoom_hover	Three zooms passed; typography/selection follow-up and native resize verification pending
2026-09-13T08:21:49Z	step27	Verify and complete picker overlay plus hover/resize follow-ups	Preserve reading while temporary UI and native geometry change	docs/reading-navigation-evidence/step27; docs/reading-navigation-step27.md	Final three-zoom picker, hover, focus, seven navigation scenarios, 16 GPU resize checks and 56 dock frames passed; cold Retina window overhead retained
2026-09-13T08:51:14Z	step28	Default Quick Open to active revision; offer explicit working tree	Keep historical source identity and reject obsolete asynchronous lists	docs/reading-navigation-step28.md	Passed 2 unit tests, five three-zoom native journeys, and seven navigation regressions; async focus race fixed
