ts	phase	decision	why	evidence	result
2026-09-12T08:01:57Z	frame	Measure current UI before changing spacing	Screenshots need actual bounds to distinguish nested padding from renderer behavior	docs/spacing-audit-plan.md	open
2026-09-12T08:09:57Z	verification	Add JSON layout dumps and paired native captures	XML rounds bounds and omits computed spacing; native screenshots also use a deferred capture path	tests/check_layout_dump.py; output/spacing-audit/baseline-paired	VERIFIED: 11 screenshot sidecars and standalone geometry match
2026-09-12T08:09:57Z	design	Prefer a stacked Review workspace over a single-change queue	Keep direct browsing and retained tabs; combine duplicate local export actions	output/spacing-audit/annotations/review_workspace_options.png	chosen for implementation
2026-09-12T08:13:22Z	sidebar	Reduce row insets and align timestamps after badges	The baseline had a 60-pixel age offset on decorated rows	output/spacing-audit/sidebar-before.log; tests/check_sidebar_spacing.py; output/spacing-audit/sidebar	VERIFIED at 100% and 140%
2026-09-12T08:13:22Z	graph	Check branch lanes, both merge parents, and an empty commit	Graph density must remain readable and empty files must stay near the header	output/spacing-audit/graph; tests/check_commit_graph.sh	VERIFIED with native assertions and screenshots
2026-09-12T08:13:22Z	framework	Record ignored text-inset overrides in immediate plain labels	Screenshots still show a five-pixel inset despite explicit configuration	docs/afterhours-gaps.md; vendor/afterhours/src/plugins/ui/rendering.h	open for spacing unit
2026-09-12T08:23:52Z	toast	Replace toast layout and preserve queued severity	Users need readable messages, dismissal, and errors that do not vanish	output/spacing-audit/toast-final; tests/check_toast_layout.py	VERIFIED with native behavior and geometry checks
2026-09-12T08:23:52Z	verification	Target the Copy menu item by UI id	Text matching chose Copy Diff underneath the menu, so the original toast baseline did not exercise the intended action	tests/review_focus/toast_basic.e2e; output/spacing-audit/toast-final-basic.log	corrected; old baseline is not a valid toast rendering comparison
2026-09-12T08:23:52Z	rendering	Render floating UI after ordinary scrollbars	The first zoom screenshot showed scrollbar tracks over toast cards	output/spacing-audit/toasts/toast_zoom_small.png; output/spacing-audit/toast-final/toast_zoom_small.png	VERIFIED; highlight and 15-frame flicker checks pass
2026-09-12T08:23:52Z	menu	Import the isolated native-menu bridge after rerunning its tests	Keep AppKit work separate from active UI changes and preserve editor key handling	034aa48; tests/check_native_menu.sh	windowless tests pass; app integration pending
2026-09-12T08:41:55Z	menu	Use native macOS menus and place fallback menus above tabs	App commands belong in the system menu bar while repository tabs belong to the window	output/spacing-audit/native-menu; output/spacing-audit/menu-order; tests/check_native_menu.sh	VERIFIED windowless actions, one zoom step, tab creation and closing; physical menu tracking remains manual
2026-09-12T08:41:55Z	input	Route tab shortcuts through shared input and accept Command or Control	The first tab test bypassed injected state; the second exposed CMD being parsed as Control	output/spacing-audit/menu-build2.log; src/ecs/tab_bar_system.h; tests/review_focus/native_menu.e2e	VERIFIED after both corrections
2026-09-12T08:51:50Z	verification	Use renderer coordinates for JSON and named test clicks	The nearest-scroll-only test helper clicked the splitter instead of a visible file row	output/spacing-audit/final-verified; output/spacing-audit/nested-final; src/ui/layout_dump.h	VERIFIED selected main.cpp, source/review navigation, 11 paired captures, and clipped geometry
2026-09-12T08:51:50Z	verification	Retain failed capture directories as failed evidence	A directory name does not establish a passing test; the native-menu failure log was also overwritten during reruns	current session transcript; output/spacing-audit/final.log; output/spacing-audit/final-verified.log	Use nested-final for passing nested-scroll evidence; native-menu failures remain in the transcript
2026-09-12T08:56:24Z	feedback	Keep stacked working review and replace the feedback basket controls	A full location row, separate actions, close button, and one Copy feedback action clarify the local workflow	output/spacing-audit/feedback-polished; output/spacing-audit/working-polished; tests/review_focus/working_review.e2e	VERIFIED edit, resolve/reopen, copy, close/reopen, enter/approve/commit/return/close, and compact zoom
2026-09-12T08:56:24Z	spacing	Scroll the Files controls instead of compressing their children	Small-window screenshots showed overlapping controls; the new minimum-height body keeps history separate	output/spacing-audit/nested-final; tests/check_files_controls_spacing.py	VERIFIED stable captured geometry at normal and enlarged zoom; legacy Git-control typography remains small
2026-09-12T08:56:24Z	spacing	Remove oversized button defaults and align commit metadata	Empty padding triggered sixteen pixels per edge on controls smaller than that, and metadata started sixteen pixels after the title	output/spacing-audit/nested-final; tests/check_control_padding.py	VERIFIED 112 control boxes and matching title/metadata left edges
2026-09-12T08:56:24Z	toast	Narrow wrapped text measurement to include the renderer inset	A visual review found clipped final letters despite the earlier passing card geometry checks	output/spacing-audit/toast-polished/toast_zoom_small.png; tests/check_toast_layout.py	VERIFIED full error text visually and toast behavior/geometry in the native runner
2026-09-12T09:03:23Z	verification	Replace invalid UTF-8 only at JSON serialization	The binary-file screenshot aborted because a label held raw repository bytes	output/spacing-audit/flows-verified.log; output/spacing-audit/verified/binary; tests/check_binary_layout_dump.py	VERIFIED binary selection, valid JSON, replacement character, and finite geometry; repository bytes are unchanged
2026-09-12T09:03:23Z	verification	Update Files navigation scripts to scroll before clicking	The new clipped-rectangle click helper exposed ten scripts targeting offscreen files	output/spacing-audit/final-flows.log; tests/e2e_scripts/flow_binary_file.e2e	First broad run64/74; corrected full rerun pending
2026-09-12T09:03:23Z	verification	Measure the Files viewport during splitter drags	The inner file list now keeps an80-pixel minimum while its outer viewport changes height	output/spacing-audit/splitter-verified; tests/review_focus/commit_splitter.e2e	VERIFIED drag/zoom/clamps; integer assert_ui values round captured geometry
